,Image 1,Image 2,Similarity
1116,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (11 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (12 of 37).jpg,0.7769172787666321
182,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (12 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (4 of 21).jpg,0.776566207408905
1482,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (23 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (26 of 37).jpg,0.7763243317604065
1286,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (16 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (26 of 37).jpg,0.7759200930595398
1278,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (16 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (19 of 37).jpg,0.7758163213729858
1298,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (16 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (37 of 37).jpg,0.7756817936897278
1277,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (16 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (18 of 37).jpg,0.775553822517395
1193,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (13 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (23 of 37).jpg,0.7755405306816101
1478,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (22 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (8 of 37).jpg,0.7753916382789612
535,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (19 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (2 of 21).jpg,0.7751556038856506
1314,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (17 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (26 of 37).jpg,0.7751168608665466
1359,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (18 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (9 of 37).jpg,0.7748689651489258
1167,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (12 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (29 of 37).jpg,0.7746564745903015
1517,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (24 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (6 of 37).jpg,0.7742477059364319
1176,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (12 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (37 of 37).jpg,0.7741004228591919
721,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (3 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (4 of 21).jpg,0.7738515138626099
1292,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (16 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (31 of 37).jpg,0.7737483978271484
174,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (12 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (16 of 21).jpg,0.7731047868728638
1227,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (14 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (26 of 37).jpg,0.7719605565071106
74,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (10 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (7 of 21).jpg,0.7719166874885559
1360,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (19 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,0.7711517810821533
1350,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (18 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (34 of 37).jpg,0.7710987329483032
1340,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (18 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (25 of 37).jpg,0.7708118557929993
1144,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (11 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (4 of 37).jpg,0.7706082463264465
1170,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (12 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (31 of 37).jpg,0.770423173904419
337,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (15 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (2 of 21).jpg,0.770406186580658
769,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (4 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (9 of 21).jpg,0.7703859210014343
1483,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (23 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (27 of 37).jpg,0.7700093984603882
1150,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (12 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (13 of 37).jpg,0.7693914771080017
1676,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (35 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (37 of 37).jpg,0.7692887783050537
1383,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (19 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (7 of 37).jpg,0.7692393064498901
1409,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (8 of 37).jpg,0.7689317464828491
1355,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (18 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (5 of 37).jpg,0.7685950994491577
1403,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (36 of 37).jpg,0.7685264945030212
1342,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (18 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (27 of 37).jpg,0.7683956027030945
